League;Stat;Next Match;Odds;Date;Resultado;Situacao;Target;Tipo_Estatistica;Tamanho_Streak;Local_Jogo;Probabilidade_Sucesso;Previsao_Modelo;Padrao_Identificado;Recomendacao;Analise_Detalhada
USL Championship;Orange County have had Over 2.5 Match Goalsin their last 11 home league matches;Home vs El Paso Locomotive;1.8;2025-10-04 23:00:00;;FALSO;0.0;OVER_2.5;11;CASA;0.16;FALSO;PADRAO_REGULAR;REGULAR;PADRAO REGULAR: Over 2.5 goals em 11 jogos (Odds: 1.8). Previsao: STREAK SERA INTERROMPIDO.
US MLS;Seattle Sounders FC have had BTTS in their last 6 home league matches;Home vs Portland Timbers;1.57;2025-10-04 23:30:00;;FALSO;0.0;BTTS;6;CASA;0.11666666666666668;FALSO;PADRAO_REGULAR;REGULAR;PADRAO REGULAR: Estatistica BTTS por 6 jogos (Odds: 1.57). Previsao: STREAK SERA INTERROMPIDO.
J League 2;Sagan Tosu have had BTTS in their last 6 league matches;Away vs Renofa Yamaguchi;1.91;2025-10-05 02:00:00;01/fev;VERDADEIRO;1.0;BTTS;6;FORA;0.06;FALSO;PADRAO_REGULAR;REGULAR;PADRAO REGULAR: Estatistica BTTS por 6 jogos (Odds: 1.91). Previsao: STREAK SERA INTERROMPIDO.
Premier League;Gazovik Orenburg have had BTTS in their last 6 league matches;Home vs Rostov;;2025-10-05 06:00:00;;FALSO;0.0;BTTS;6;CASA;;DADOS_INSUFICIENTES;INDETERMINADO;N/A;Dados insuficientes para analise
Premier League;Gazovik Orenburg have had Over 2.5 Match Goalsin their last 6 league matches;Home vs Rostov;;2025-10-05 06:00:00;;FALSO;0.0;OVER_2.5;6;CASA;;DADOS_INSUFICIENTES;INDETERMINADO;N/A;Dados insuficientes para analise
Swedish Superettan;Utsikten have had Over 2.5 Match Goalsin their last 6 league matches;Away vs Oddevold;1.8;2025-10-05 08:00:00;;FALSO;0.0;OVER_2.5;6;FORA;0.49249999999999994;FALSO;PADRAO_REGULAR;REGULAR;PADRAO REGULAR: Over 2.5 goals em 6 jogos (Odds: 1.8). Previsao: STREAK SERA INTERROMPIDO.
League One;Chongqing Tongliang Long have had Over 2.5 Match Goalsin their last 6 away league matches;Away vs Guangxi Baoyun;1.9;2025-10-05 08:30:00;01/fev;VERDADEIRO;1.0;OVER_2.5;6;FORA;0.5693809523809522;VERDADEIRO;PADRAO_REGULAR;REGULAR;PADRAO REGULAR: Over 2.5 goals em 6 jogos (Odds: 1.9). Previsao: MANTERA O STREAK.
Meistriliiga;Levadia have had BTTS in their last 8 league matches;Home vs Tammeka;2.2;2025-10-05 08:30:00;6-0;FALSO;0.0;BTTS;8;CASA;0.03333333333333333;FALSO;PADRAO_REGULAR;REGULAR;PADRAO REGULAR: Estatistica BTTS por 8 jogos (Odds: 2.2). Previsao: STREAK SERA INTERROMPIDO.
Meistriliiga;Levadia have had Over 2.5 Match Goalsin their last 8 league matches;Home vs Tammeka;1.28;2025-10-05 08:30:00;6-0;VERDADEIRO;1.0;OVER_2.5;8;CASA;0.62;VERDADEIRO;PADRAO_SOLIDO;BOA;PADRAO SOLIDO: Over 2.5 goals em 8 jogos (Odds: 1.28). Previsao: MANTERA O STREAK.
League One;Shenzhen Juniors have had Over 2.5 Match Goalsin their last 9 league matches;Away vs Guangzhou E-Power;;2025-10-05 08:30:00;;FALSO;0.0;OVER_2.5;9;FORA;;DADOS_INSUFICIENTES;INDETERMINADO;N/A;Dados insuficientes para analise
Allsvenskan Women;Brommapojkarna W have had BTTS in their last 8 league matches;Away vs Linkoping W;;2025-10-05 09:00:00;;VERDADEIRO;1.0;BTTS;8;FORA;;DADOS_INSUFICIENTES;INDETERMINADO;N/A;Dados insuficientes para analise
Allsvenskan Women;Brommapojkarna W have had Over 2.5 Match Goalsin their last 8 league matches;Away vs Linkoping W;;2025-10-05 09:00:00;;VERDADEIRO;1.0;OVER_2.5;8;FORA;;DADOS_INSUFICIENTES;INDETERMINADO;N/A;Dados insuficientes para analise
Liga 1;CFR Cluj have had BTTS in their last 7 league matches;Home vs Hermannstadt;2.0;2025-10-05 09:00:00;02/jan;VERDADEIRO;1.0;BTTS;7;CASA;0.12833333333333333;FALSO;PADRAO_REGULAR;REGULAR;PADRAO REGULAR: Estatistica BTTS por 7 jogos (Odds: 2.0). Previsao: STREAK SERA INTERROMPIDO.
Allsvenskan Women;Linkoping W have had Over 2.5 Match Goalsin their last 6 league matches;Home vs Brommapojkarna W;;2025-10-05 09:00:00;;VERDADEIRO;1.0;OVER_2.5;6;CASA;;DADOS_INSUFICIENTES;INDETERMINADO;N/A;Dados insuficientes para analise
Allsvenskan Women;Linkoping W have had Over 2.5 Match Goalsin their last 7 home league matches;Home vs Brommapojkarna W;;2025-10-05 09:00:00;;VERDADEIRO;1.0;OVER_2.5;7;CASA;;DADOS_INSUFICIENTES;INDETERMINADO;N/A;Dados insuficientes para analise
Premier League;Dynamo Kyiv have had BTTS in their last 6 league matches;Home vs Metalist 1925 Kharkiv;;2025-10-05 09:30:00;01/jan;VERDADEIRO;1.0;BTTS;6;CASA;;DADOS_INSUFICIENTES;INDETERMINADO;N/A;Dados insuficientes para analise
Premier League;Dynamo Kyiv have had Over 2.5 Match Goalsin their last 6 league matches;Home vs Metalist 1925 Kharkiv;;2025-10-05 09:30:00;01/jan;FALSO;0.0;OVER_2.5;6;CASA;;DADOS_INSUFICIENTES;INDETERMINADO;N/A;Dados insuficientes para analise
Swedish Superettan;Falkenbergs FF have had Over 2.5 Match Goalsin their last 6 league matches;Away vs Orebro SK;1.67;2025-10-05 10:00:00;;VERDADEIRO;1.0;OVER_2.5;6;FORA;0.7975;VERDADEIRO;PADRAO_FORTE;EXCELENTE;PADRAO FORTE: Over 2.5 goals em 6 jogos (Odds: 1.67). Previsao: MANTERA O STREAK.
Allsvenskan Women;Pitea W have Lost their last 6 home league matches;Home vs Djurgarden W;;2025-10-05 10:00:00;;FALSO;0.0;DERROTA;6;CASA;;DADOS_INSUFICIENTES;INDETERMINADO;N/A;Dados insuficientes para analise
Allsvenskan Women;Pitea W have had Over 2.5 Match Goalsin their last 7 home league matches;Home vs Djurgarden W;;2025-10-05 10:00:00;;FALSO;0.0;OVER_2.5;7;CASA;;DADOS_INSUFICIENTES;INDETERMINADO;N/A;Dados insuficientes para analise
Allsvenskan Women;Växjö W have had Over 2.5 Match Goalsin their last 7 away league matches;Away vs Norrköping W;;2025-10-05 10:00:00;;FALSO;0.0;OVER_2.5;7;FORA;;DADOS_INSUFICIENTES;INDETERMINADO;N/A;Dados insuficientes para analise
Allsvenskan Women;Växjö W have had Over 2.5 Match Goalsin their last 9 league matches;Away vs Norrköping W;;2025-10-05 10:00:00;;FALSO;0.0;OVER_2.5;9;FORA;;DADOS_INSUFICIENTES;INDETERMINADO;N/A;Dados insuficientes para analise
Super Liga;Čukarički have had BTTS in their last 8 league matches;Home vs Javor Ivanjica;2.0;2025-10-05 10:30:00;;FALSO;0.0;BTTS;8;CASA;0.034761904761904765;FALSO;PADRAO_REGULAR;REGULAR;PADRAO REGULAR: Estatistica BTTS por 8 jogos (Odds: 2.0). Previsao: STREAK SERA INTERROMPIDO.
Superliga;AGF Aarhus have Won their last 7 league matches;Home vs Silkeborg IF;1.49;2025-10-05 11:00:00;;VERDADEIRO;1.0;VITORIA;7;CASA;0.73;VERDADEIRO;PADRAO_FORTE;BOA;PADRAO FORTE: Streak de 7 vitorias consecutivas (Odds: 1.49). Previsao: MANTERA O STREAK.
First Division B;SK Beveren have Won their last 8 league matches;Away vs Kortrijk;2.55;2025-10-05 11:00:00;01/mar;VERDADEIRO;1.0;VITORIA;8;FORA;0.13;FALSO;PADRAO_REGULAR;REGULAR;PADRAO REGULAR: Streak de 8 vitorias consecutivas (Odds: 2.55). Previsao: STREAK SERA INTERROMPIDO.
Swedish Allsvenskan;IK Sirius have had Over 2.5 Match Goalsin their last 6 league matches;Home vs Malmö FF;1.67;2025-10-05 11:30:00;;VERDADEIRO;1.0;OVER_2.5;6;CASA;0.7975;VERDADEIRO;PADRAO_FORTE;EXCELENTE;PADRAO FORTE: Over 2.5 goals em 6 jogos (Odds: 1.67). Previsao: MANTERA O STREAK.
Norwegian 1. Division;Moss have had BTTS in their last 7 league matches;Away vs Lyn;1.62;2025-10-05 12:00:00;4-0;FALSO;0.0;BTTS;7;FORA;0.16;FALSO;PADRAO_REGULAR;REGULAR;PADRAO REGULAR: Estatistica BTTS por 7 jogos (Odds: 1.62). Previsao: STREAK SERA INTERROMPIDO.
Norwegian Eliteserien;Strømsgodset IF have had Over 2.5 Match Goalsin their last 6 league matches;Home vs KFUM;1.95;2025-10-05 12:00:00;;FALSO;0.0;OVER_2.5;6;CASA;0.5196666666666665;VERDADEIRO;PADRAO_REGULAR;REGULAR;PADRAO REGULAR: Over 2.5 goals em 6 jogos (Odds: 1.95). Previsao: MANTERA O STREAK.
1. Liga;Miedź Legnica have had Over 2.5 Match Goalsin their last 7 away league matches;Away vs Górnik Łęczna;1.73;2025-10-05 12:30:00;;FALSO;0.0;OVER_2.5;7;FORA;0.655;VERDADEIRO;PADRAO_SOLIDO;BOA;PADRAO SOLIDO: Over 2.5 goals em 7 jogos (Odds: 1.73). Previsao: MANTERA O STREAK.
Superliga;FC København have had BTTS in their last 7 league matches;Home vs Midtjylland;1.7;2025-10-05 13:00:00;;VERDADEIRO;1.0;BTTS;7;CASA;0.81;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO FORTISSIMO: Estatistica BTTS por 7 jogos (Odds: 1.7). Previsao: MANTERA O STREAK.
Segunda Division;Santander have had BTTS in their last 7 league matches;Home vs Malaga;1.8;2025-10-05 13:30:00;3-0;FALSO;0.0;BTTS;7;CASA;0.13;FALSO;PADRAO_REGULAR;REGULAR;PADRAO REGULAR: Estatistica BTTS por 7 jogos (Odds: 1.8). Previsao: STREAK SERA INTERROMPIDO.
Segunda Division;Santander have had Over 2.5 Match Goalsin their last 7 league matches;Home vs Malaga;1.85;2025-10-05 13:30:00;3-0;VERDADEIRO;1.0;OVER_2.5;7;CASA;0.86;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO FORTISSIMO: Over 2.5 goals em 7 jogos (Odds: 1.85). Previsao: MANTERA O STREAK.
Segunda Liga;Benfica II have had BTTS in their last 6 league matches;Home vs Penafiel;1.8;2025-10-05 14:00:00;;FALSO;0.0;BTTS;6;CASA;0.1;FALSO;PADRAO_REGULAR;REGULAR;PADRAO REGULAR: Estatistica BTTS por 6 jogos (Odds: 1.8). Previsao: STREAK SERA INTERROMPIDO.
Super Liga;Crvena Zvezda have Won their last 8 league matches;Away vs Napredak;1.18;2025-10-05 14:00:00;0-3;VERDADEIRO;1.0;VITORIA;8;FORA;0.4957142857142857;FALSO;PADRAO_REGULAR;REGULAR;PADRAO REGULAR: Streak de 8 vitorias consecutivas (Odds: 1.18). Previsao: STREAK SERA INTERROMPIDO.
Eredivisie;NEC Nijmegen have had Over 2.5 Match Goalsin their last 7 league matches;Away vs Go Ahead Eagles;1.44;2025-10-05 15:00:00;01/jan;FALSO;0.0;OVER_2.5;7;FORA;0.64;VERDADEIRO;PADRAO_SOLIDO;BOA;PADRAO SOLIDO: Over 2.5 goals em 7 jogos (Odds: 1.44). Previsao: MANTERA O STREAK.
1. SNL;Celje have had Over 2.5 Match Goalsin their last 6 away league matches;Away vs Radomlje;1.4;2025-10-05 15:15:00;0-3;VERDADEIRO;1.0;OVER_2.5;6;FORA;0.7048333333333333;VERDADEIRO;PADRAO_FORTE;BOA;PADRAO FORTE: Over 2.5 goals em 6 jogos (Odds: 1.4). Previsao: MANTERA O STREAK.
1. SNL;Celje have had Over 2.5 Match Goalsin their last 8 league matches;Away vs Radomlje;1.4;2025-10-05 15:15:00;0-3;VERDADEIRO;1.0;OVER_2.5;8;FORA;0.69;VERDADEIRO;PADRAO_SOLIDO;BOA;PADRAO SOLIDO: Over 2.5 goals em 8 jogos (Odds: 1.4). Previsao: MANTERA O STREAK.
Primera B Nacional;Talleres Remedios de Escalada have Lost their last 6 away league matches;Away vs Almirante Brown;1.81;2025-10-05 15:30:00;02/jan;VERDADEIRO;1.0;DERROTA;6;FORA;0.6833333333333332;VERDADEIRO;PADRAO_SOLIDO;BOA;PADRAO SOLIDO: Streak de 6 derrotas consecutivas (Odds: 1.81). Previsao: MANTERA O STREAK.
La Liga;Celta have had BTTS in their last 6 league matches;Home vs Ath Madrid;1.75;2025-10-05 16:00:00;01/jan;VERDADEIRO;1.0;BTTS;6;CASA;0.82;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO FORTISSIMO: Estatistica BTTS por 6 jogos (Odds: 1.75). Previsao: MANTERA O STREAK.
Iceland Besta Deildin;Víkingur Reykjavík have had BTTS in their last 10 home league matches;Home vs FH;1.61;2025-10-05 16:15:00;;FALSO;0.0;BTTS;10;CASA;0.16;FALSO;PADRAO_REGULAR;REGULAR;PADRAO REGULAR: Estatistica BTTS por 10 jogos (Odds: 1.61). Previsao: STREAK SERA INTERROMPIDO.
Iceland Besta Deildin;Víkingur Reykjavík have had Over 2.5 Match Goalsin their last 11 home league matches;Home vs FH;1.44;2025-10-05 16:15:00;;FALSO;0.0;OVER_2.5;11;CASA;0.13;FALSO;PADRAO_REGULAR;REGULAR;PADRAO REGULAR: Over 2.5 goals em 11 jogos (Odds: 1.44). Previsao: STREAK SERA INTERROMPIDO.
Venezuela Primera Division;Yaracuyanos have Lost their last 7 away league matches;Away vs Estudiantes Mérida;1.33;2025-10-05 16:30:00;0-2;FALSO;0.0;DERROTA;7;FORA;0.43166666666666664;FALSO;PADRAO_REGULAR;REGULAR;PADRAO REGULAR: Streak de 7 derrotas consecutivas (Odds: 1.33). Previsao: STREAK SERA INTERROMPIDO.
US NWSL;Chicago Red Stars W have had BTTS in their last 8 home league matches;Home vs Utah Royals W;;2025-10-05 17:00:00;;VERDADEIRO;1.0;BTTS;8;CASA;;DADOS_INSUFICIENTES;INDETERMINADO;N/A;Dados insuficientes para analise
Portugese Liga NOS;Porto have Won their last 7 league matches;Home vs Benfica;1.86;2025-10-05 17:15:00;0-0;FALSO;0.0;VITORIA;7;CASA;0.545;VERDADEIRO;PADRAO_REGULAR;REGULAR;PADRAO REGULAR: Streak de 7 vitorias consecutivas (Odds: 1.86). Previsao: MANTERA O STREAK.
Colombia Primera B;Leones FC have Lost their last 6 league matches;Away vs Cúcuta Deportivo;1.25;2025-10-05 18:00:00;;VERDADEIRO;1.0;DERROTA;6;FORA;0.674047619047619;VERDADEIRO;PADRAO_SOLIDO;BOA;PADRAO SOLIDO: Streak de 6 derrotas consecutivas (Odds: 1.25). Previsao: MANTERA O STREAK.
Primera Division;Peñarol have Won their last 10 home league matches;Home vs Danubio;1.45;2025-10-05 18:00:00;;VERDADEIRO;1.0;VITORIA;10;CASA;0.73;VERDADEIRO;PADRAO_FORTE;BOA;PADRAO FORTE: Streak de 10 vitorias consecutivas (Odds: 1.45). Previsao: MANTERA O STREAK.
Premier League;Cavalry have had Over 2.5 Match Goalsin their last 7 league matches;Away vs Pacific;1.75;2025-10-05 19:00:00;;VERDADEIRO;1.0;OVER_2.5;7;FORA;0.755;VERDADEIRO;PADRAO_FORTE;EXCELENTE;PADRAO FORTE: Over 2.5 goals em 7 jogos (Odds: 1.75). Previsao: MANTERA O STREAK.
Serie B;Athletico PR have Won their last 7 league matches;Away vs Atlético GO;2.65;2025-10-05 20:30:00;;FALSO;0.0;VITORIA;7;FORA;0.1433333333333333;FALSO;PADRAO_REGULAR;REGULAR;PADRAO REGULAR: Streak de 7 vitorias consecutivas (Odds: 2.65). Previsao: STREAK SERA INTERROMPIDO.
Swedish Superettan;Varbergs BoIS have had BTTS in their last 7 league matches;Away vs Landskrona;1.67;2025-10-06 14:01:00;;;-1.0;BTTS;7;FORA;;DADOS_INSUFICIENTES;INDETERMINADO;N/A;Dados insuficientes para analise
Swedish Superettan;Örgryte have Won their last 7 away league matches;Away vs Sandviken;1.75;2025-10-06 14:00:00;;;-1.0;VITORIA;7;FORA;;DADOS_INSUFICIENTES;INDETERMINADO;N/A;Dados insuficientes para analise
Primera Division;Deportivo Riestra have Won their last 6 home league matches;Home vs Vélez Sarsfield;3.25;2025-10-06 19:00:00;;;-1.0;VITORIA;6;CASA;;DADOS_INSUFICIENTES;INDETERMINADO;N/A;Dados insuficientes para analise
