League;Stat;Next Match;Odds;Date;Resultado;Situacao;Target;Tipo_Estatistica;Tamanho_Streak;Local_Jogo;Analise_Automatica
Allsvenskan Women;Pitea W have Lost their last 6 home league matches;Home vs Djurgarden W;;1900-10-05 10:00:00;;FALSO;0;DERROTA;6;CASA;Dados insuficientes para análise
Allsvenskan Women;Pitea W have had Over 2.5 Match Goalsin their last 7 home league matches;Home vs Djurgarden W;;1900-10-05 10:00:00;;FALSO;0;OVER_2.5;7;CASA;Dados insuficientes para análise
Allsvenskan Women;Växjö W have had Over 2.5 Match Goalsin their last 7 away league matches;Away vs Norrköping W;;1900-10-05 10:00:00;;FALSO;0;OVER_2.5;7;FORA;Dados insuficientes para análise
Allsvenskan Women;Växjö W have had Over 2.5 Match Goalsin their last 9 league matches;Away vs Norrköping W;;1900-10-05 10:00:00;;FALSO;0;OVER_2.5;9;FORA;Dados insuficientes para análise
Super Liga;Čukarički have had BTTS in their last 8 league matches;Home vs Javor Ivanjica;2.0;1900-10-05 10:30:00;;FALSO;0;BTTS;8;CASA;⚠️ PADRÃO REGULAR: Estatística BTTS por 8 jogos (Odds: 2.0). Previsão: STREAK SERÁ INTERROMPIDO.
Superliga;AGF Aarhus have Won their last 7 league matches;Home vs Silkeborg IF;1.49;1900-10-05 11:00:00;;VERDADEIRO;1;VITORIA;7;CASA;🔥 PADRÃO FORTE: Streak de 7 vitórias consecutivas (Odds: 1.49). Previsão: MANTERÁ O STREAK.
First Division B;SK Beveren have Won their last 8 league matches;Away vs Kortrijk;2.55;1900-10-05 11:00:00;01/mar;VERDADEIRO;1;VITORIA;8;FORA;⚠️ PADRÃO REGULAR: Streak de 8 vitórias consecutivas (Odds: 2.55). Previsão: STREAK SERÁ INTERROMPIDO.
Swedish Allsvenskan;IK Sirius have had Over 2.5 Match Goalsin their last 6 league matches;Home vs Malmö FF;1.67;1900-10-05 11:30:00;;VERDADEIRO;1;OVER_2.5;6;CASA;🔥 PADRÃO FORTE: Over 2.5 goals em 6 jogos (Odds: 1.67). Previsão: MANTERÁ O STREAK.
Norwegian 1. Division;Moss have had BTTS in their last 7 league matches;Away vs Lyn;1.62;1900-10-05 12:00:00;4-0;FALSO;0;BTTS;7;FORA;⚠️ PADRÃO REGULAR: Estatística BTTS por 7 jogos (Odds: 1.62). Previsão: STREAK SERÁ INTERROMPIDO.
Norwegian Eliteserien;Strømsgodset IF have had Over 2.5 Match Goalsin their last 6 league matches;Home vs KFUM;1.95;1900-10-05 12:00:00;;FALSO;0;OVER_2.5;6;CASA;⚠️ PADRÃO REGULAR: Over 2.5 goals em 6 jogos (Odds: 1.95). Previsão: MANTERÁ O STREAK.
1. Liga;Miedź Legnica have had Over 2.5 Match Goalsin their last 7 away league matches;Away vs Górnik Łęczna;1.73;1900-10-05 12:30:00;;FALSO;0;OVER_2.5;7;FORA;✅ PADRÃO SÓLIDO: Over 2.5 goals em 7 jogos (Odds: 1.73). Previsão: MANTERÁ O STREAK.
Superliga;FC København have had BTTS in their last 7 league matches;Home vs Midtjylland;1.7;1900-10-05 13:00:00;;VERDADEIRO;1;BTTS;7;CASA;🎯 PADRÃO FORTÍSSIMO: Estatística BTTS por 7 jogos (Odds: 1.7). Previsão: MANTERÁ O STREAK.
Segunda Division;Santander have had BTTS in their last 7 league matches;Home vs Malaga;1.8;1900-10-05 13:30:00;3-0;FALSO;0;BTTS;7;CASA;⚠️ PADRÃO REGULAR: Estatística BTTS por 7 jogos (Odds: 1.8). Previsão: STREAK SERÁ INTERROMPIDO.
Segunda Division;Santander have had Over 2.5 Match Goalsin their last 7 league matches;Home vs Malaga;1.85;1900-10-05 13:30:00;3-0;VERDADEIRO;1;OVER_2.5;7;CASA;🎯 PADRÃO FORTÍSSIMO: Over 2.5 goals em 7 jogos (Odds: 1.85). Previsão: MANTERÁ O STREAK.
Segunda Liga;Benfica II have had BTTS in their last 6 league matches;Home vs Penafiel;1.8;1900-10-05 14:00:00;;FALSO;0;BTTS;6;CASA;⚠️ PADRÃO REGULAR: Estatística BTTS por 6 jogos (Odds: 1.8). Previsão: STREAK SERÁ INTERROMPIDO.
Super Liga;Crvena Zvezda have Won their last 8 league matches;Away vs Napredak;1.18;1900-10-05 14:00:00;0-3;VERDADEIRO;1;VITORIA;8;FORA;⚠️ PADRÃO REGULAR: Streak de 8 vitórias consecutivas (Odds: 1.18). Previsão: STREAK SERÁ INTERROMPIDO.
Eredivisie;NEC Nijmegen have had Over 2.5 Match Goalsin their last 7 league matches;Away vs Go Ahead Eagles;1.44;1900-10-05 15:00:00;01/jan;FALSO;0;OVER_2.5;7;FORA;✅ PADRÃO SÓLIDO: Over 2.5 goals em 7 jogos (Odds: 1.44). Previsão: MANTERÁ O STREAK.
1. SNL;Celje have had Over 2.5 Match Goalsin their last 6 away league matches;Away vs Radomlje;1.4;1900-10-05 15:15:00;0-3;VERDADEIRO;1;OVER_2.5;6;FORA;🔥 PADRÃO FORTE: Over 2.5 goals em 6 jogos (Odds: 1.4). Previsão: MANTERÁ O STREAK.
1. SNL;Celje have had Over 2.5 Match Goalsin their last 8 league matches;Away vs Radomlje;1.4;1900-10-05 15:15:00;0-3;VERDADEIRO;1;OVER_2.5;8;FORA;✅ PADRÃO SÓLIDO: Over 2.5 goals em 8 jogos (Odds: 1.4). Previsão: MANTERÁ O STREAK.
Primera B Nacional;Talleres Remedios de Escalada have Lost their last 6 away league matches;Away vs Almirante Brown;1.81;1900-10-05 15:30:00;02/jan;VERDADEIRO;1;DERROTA;6;FORA;✅ PADRÃO SÓLIDO: Streak de 6 derrotas consecutivas (Odds: 1.81). Previsão: MANTERÁ O STREAK.
La Liga;Celta have had BTTS in their last 6 league matches;Home vs Ath Madrid;1.75;1900-10-05 16:00:00;01/jan;VERDADEIRO;1;BTTS;6;CASA;🎯 PADRÃO FORTÍSSIMO: Estatística BTTS por 6 jogos (Odds: 1.75). Previsão: MANTERÁ O STREAK.
Iceland Besta Deildin;Víkingur Reykjavík have had BTTS in their last 10 home league matches;Home vs FH;1.61;1900-10-05 16:15:00;;FALSO;0;BTTS;10;CASA;⚠️ PADRÃO REGULAR: Estatística BTTS por 10 jogos (Odds: 1.61). Previsão: STREAK SERÁ INTERROMPIDO.
Iceland Besta Deildin;Víkingur Reykjavík have had Over 2.5 Match Goalsin their last 11 home league matches;Home vs FH;1.44;1900-10-05 16:15:00;;FALSO;0;OVER_2.5;11;CASA;⚠️ PADRÃO REGULAR: Over 2.5 goals em 11 jogos (Odds: 1.44). Previsão: STREAK SERÁ INTERROMPIDO.
Venezuela Primera Division;Yaracuyanos have Lost their last 7 away league matches;Away vs Estudiantes Mérida;1.33;1900-10-05 16:30:00;0-2;FALSO;0;DERROTA;7;FORA;⚠️ PADRÃO REGULAR: Streak de 7 derrotas consecutivas (Odds: 1.33). Previsão: STREAK SERÁ INTERROMPIDO.
US NWSL;Chicago Red Stars W have had BTTS in their last 8 home league matches;Home vs Utah Royals W;;1900-10-05 17:00:00;;VERDADEIRO;1;BTTS;8;CASA;Dados insuficientes para análise
Portugese Liga NOS;Porto have Won their last 7 league matches;Home vs Benfica;1.86;1900-10-05 17:15:00;0-0;FALSO;0;VITORIA;7;CASA;⚠️ PADRÃO REGULAR: Streak de 7 vitórias consecutivas (Odds: 1.86). Previsão: MANTERÁ O STREAK.
Colombia Primera B;Leones FC have Lost their last 6 league matches;Away vs Cúcuta Deportivo;1.25;1900-10-05 18:00:00;;VERDADEIRO;1;DERROTA;6;FORA;✅ PADRÃO SÓLIDO: Streak de 6 derrotas consecutivas (Odds: 1.25). Previsão: MANTERÁ O STREAK.
Primera Division;Peñarol have Won their last 10 home league matches;Home vs Danubio;1.45;1900-10-05 18:00:00;;VERDADEIRO;1;VITORIA;10;CASA;🔥 PADRÃO FORTE: Streak de 10 vitórias consecutivas (Odds: 1.45). Previsão: MANTERÁ O STREAK.
Premier League;Cavalry have had Over 2.5 Match Goalsin their last 7 league matches;Away vs Pacific;1.75;1900-10-05 19:00:00;;VERDADEIRO;1;OVER_2.5;7;FORA;🔥 PADRÃO FORTE: Over 2.5 goals em 7 jogos (Odds: 1.75). Previsão: MANTERÁ O STREAK.
Serie B;Athletico PR have Won their last 7 league matches;Away vs Atlético GO;2.65;1900-10-05 20:30:00;;FALSO;0;VITORIA;7;FORA;⚠️ PADRÃO REGULAR: Streak de 7 vitórias consecutivas (Odds: 2.65). Previsão: STREAK SERÁ INTERROMPIDO.
Swedish Superettan;Varbergs BoIS have had BTTS in their last 7 league matches;Away vs Landskrona;1.67;1900-10-06 14:01:00;;;-1;BTTS;7;FORA;Dados insuficientes para análise
Swedish Superettan;Örgryte have Won their last 7 away league matches;Away vs Sandviken;1.75;1900-10-06 14:00:00;;;-1;VITORIA;7;FORA;Dados insuficientes para análise
Primera Division;Deportivo Riestra have Won their last 6 home league matches;Home vs Vélez Sarsfield;3.25;1900-10-06 19:00:00;;;-1;VITORIA;6;CASA;Dados insuficientes para análise
