League;Stat;Next Match;Odds;Date;Resultado;Situação;Liga_Categoria;Tipo_Estatistica;Probabilidade_Sucesso;Efetividade;Previsao;Padrao;Recomendacao;Analise_Detalhada
Eredivisie;Ajax have had BTTS in their last 7 away league matches;AJAX vs nec nijmegen;1.44;20/12/2025 16:00;'2-2;VERDADEIRO;MEDIA_CONFIABILIDADE;BTTS;0.7286170466419102;JOGO_FUTURO;VERDADEIRO;PADRAO_FORTE;BOA;PADRAO_FORTE: BTTS em 7 jogos (Odds: 1.44) Streak bonus: +10% Tipo bonus: +5% Previsão: MANTERÁ STREAK
Eerste Divisie;Almere City have had Over 2.5 Match Goals in their last 6 league matches;ALMERE CITY vs fc emmen;1.48;20/12/2025 16:00;'4-2;VERDADEIRO;MEDIA_CONFIABILIDADE;OVER_2.5;0.4658586376349993;JOGO_FUTURO;FALSO;PADRAO_FRACO;ARISCADO;PADRAO_FRACO: OVER_2.5 em 6 jogos (Odds: 1.48) Streak bonus: +9% Tipo bonus: +4% Previsão: INTERROMPERÁ STREAK
Eerste Divisie;FC Emmen have had BTTS in their last 7 league matches;FC EMMEN vs almere city;1.44;20/12/2025 16:00;'4-2;VERDADEIRO;MEDIA_CONFIABILIDADE;BTTS;0.7286170466419102;JOGO_FUTURO;VERDADEIRO;PADRAO_FORTE;BOA;PADRAO_FORTE: BTTS em 7 jogos (Odds: 1.44) Streak bonus: +10% Tipo bonus: +5% Previsão: MANTERÁ STREAK
National League;Forest Green have had BTTS in their last 8 league matches;FOREST GREEN vs yeovil;1.8;20/12/2025 16:45;'0-2;FALSO;MEDIA_CONFIABILIDADE;BTTS;0.5614603975462228;JOGO_FUTURO;FALSO;PADRAO_REGULAR;REGULAR;PADRAO_REGULAR: BTTS em 8 jogos (Odds: 1.80) Streak bonus: +12% Tipo bonus: +5% Previsão: INTERROMPERÁ STREAK
Premier League;Leeds have had BTTS in their last 6 home league matches;LEEDS vs crystal palace;1.8;20/12/2025 17:00;'4-1;VERDADEIRO;MEDIA_CONFIABILIDADE;BTTS;0.5546653358080776;JOGO_FUTURO;FALSO;PADRAO_REGULAR;REGULAR;PADRAO_REGULAR: BTTS em 6 jogos (Odds: 1.80) Streak bonus: +9% Tipo bonus: +5% Previsão: INTERROMPERÁ STREAK
Premier League;Leeds have had BTTS in their last 6 league matches;LEEDS vs crystal palace;1.8;20/12/2025 17:00;'4-1;VERDADEIRO;MEDIA_CONFIABILIDADE;BTTS;0.5546653358080776;JOGO_FUTURO;FALSO;PADRAO_REGULAR;REGULAR;PADRAO_REGULAR: BTTS em 6 jogos (Odds: 1.80) Streak bonus: +9% Tipo bonus: +5% Previsão: INTERROMPERÁ STREAK
Premier League;Leeds have had Over 2.5 Match Goals in their last 6 home league matches;LEEDS vs crystal palace;2.1;20/12/2025 17:00;'4-1;VERDADEIRO;MEDIA_CONFIABILIDADE;OVER_2.5;0.6405951059670383;JOGO_FUTURO;VERDADEIRO;PADRAO_SOLIDO;REGULAR;PADRAO_SOLIDO: OVER_2.5 em 6 jogos (Odds: 2.10) Streak bonus: +9% Tipo bonus: +4% Previsão: MANTERÁ STREAK
Liga Pro;Barcelona Guayaquil have had BTTS in their last 6 league matches;BARCELONA GUAYAQUIL vs independiente del valle;1.83;20/12/2025 21:00;'0-2;FALSO;MEDIA_CONFIABILIDADE;BTTS;0.6174754783344674;JOGO_FUTURO;VERDADEIRO;PADRAO_SOLIDO;REGULAR;PADRAO_SOLIDO: BTTS em 6 jogos (Odds: 1.83) Streak bonus: +9% Tipo bonus: +5% Previsão: MANTERÁ STREAK
Liga Pro;Libertad have had BTTS in their last 6 league matches;LIBERTAD vs orense;1.83;21/12/2025 21:00;;;MEDIA_CONFIABILIDADE;BTTS;0.6174754783344674;JOGO_FUTURO;VERDADEIRO;PADRAO_SOLIDO;REGULAR;PADRAO_SOLIDO: BTTS em 6 jogos (Odds: 1.83) Streak bonus: +9% Tipo bonus: +5% Previsão: MANTERÁ STREAK
Eredivisie;PSV Eindhoven have Won their last 10 league matches;PSV EINDHOVEN vs utrecht;1.7;21/12/2025 08:15;'1-2;FALSO;MEDIA_CONFIABILIDADE;VITORIA;0.7386946915879882;JOGO_FUTURO;VERDADEIRO;PADRAO_FORTE;BOA;PADRAO_FORTE: VITORIA em 10 jogos (Odds: 1.70) Streak bonus: +15% Tipo bonus: +8% Previsão: MANTERÁ STREAK
Eredivisie;PSV Eindhoven have Won their last 8 away league matches;PSV EINDHOVEN vs utrecht;1.7;21/12/2025 08:15;'1-2;FALSO;MEDIA_CONFIABILIDADE;VITORIA;0.7802555878225353;JOGO_FUTURO;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: VITORIA em 8 jogos (Odds: 1.70) Streak bonus: +12% Tipo bonus: +8% Previsão: MANTERÁ STREAK
3. Liga;Alemannia Aachen have had BTTS in their last 8 away league matches;ALEMANNIA AACHEN vs havelse;1.57;21/12/2025 09:30;1-1;VERDADEIRO;MEDIA_CONFIABILIDADE;BTTS;0.7332743196925415;JOGO_FUTURO;VERDADEIRO;PADRAO_FORTE;BOA;PADRAO_FORTE: BTTS em 8 jogos (Odds: 1.57) Streak bonus: +12% Tipo bonus: +5% Previsão: MANTERÁ STREAK
3. Liga;Alemannia Aachen have had Over 2.5 Match Goals in their last 8 away league matches;ALEMANNIA AACHEN vs havelse;1.67;21/12/2025 09:30;1-1;FALSO;MEDIA_CONFIABILIDADE;OVER_2.5;0.7230072251679682;JOGO_FUTURO;VERDADEIRO;PADRAO_FORTE;BOA;PADRAO_FORTE: OVER_2.5 em 8 jogos (Odds: 1.67) Streak bonus: +12% Tipo bonus: +4% Previsão: MANTERÁ STREAK
1. Lig;Adana Demirspor have Lost their last 7 away league matches;ADANA DEMIRSPOR vs umraniyespor;;21/12/2025 10:00;5-0;VERDADEIRO;MEDIA_CONFIABILIDADE;DERROTA;0.4834197473473767;JOGO_FUTURO;FALSO;PADRAO_FRACO;ARISCADO;PADRAO_FRACO: DERROTA em 7 jogos (Odds: 2.00) Streak bonus: +10% Previsão: INTERROMPERÁ STREAK
1. Lig;Adana Demirspor have had Over 2.5 Match Goals in their last 17 league matches;ADANA DEMIRSPOR vs umraniyespor;;21/12/2025 10:00;5-0;VERDADEIRO;MEDIA_CONFIABILIDADE;OVER_2.5;0.7794254909522733;JOGO_FUTURO;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: OVER_2.5 em 17 jogos (Odds: 2.00) Streak bonus: +20% Tipo bonus: +4% Previsão: MANTERÁ STREAK
1. Lig;Adana Demirspor have had Over 2.5 Match Goals in their last 8 away league matches;ADANA DEMIRSPOR vs umraniyespor;;21/12/2025 10:00;5-0;VERDADEIRO;MEDIA_CONFIABILIDADE;OVER_2.5;0.5956881272593931;JOGO_FUTURO;FALSO;PADRAO_REGULAR;REGULAR;PADRAO_REGULAR: OVER_2.5 em 8 jogos (Odds: 2.00) Streak bonus: +12% Tipo bonus: +4% Previsão: INTERROMPERÁ STREAK
1. Lig;Sakaryaspor have had Over 2.5 Match Goals in their last 6 away league matches;SAKARYASPOR vs corum belediyespor;1.65;21/12/2025 10:00;2-0;FALSO;MEDIA_CONFIABILIDADE;OVER_2.5;0.8092176325830359;JOGO_FUTURO;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: OVER_2.5 em 6 jogos (Odds: 1.65) Streak bonus: +9% Tipo bonus: +4% Previsão: MANTERÁ STREAK
Eerste Divisie;Helmond Sport have had BTTS in their last 6 home league matches;HELMOND SPORT vs willem ii;1.57;21/12/2025 10:30;'2-2;VERDADEIRO;MEDIA_CONFIABILIDADE;BTTS;0.5911362472901558;JOGO_FUTURO;FALSO;PADRAO_REGULAR;REGULAR;PADRAO_REGULAR: BTTS em 6 jogos (Odds: 1.57) Streak bonus: +9% Tipo bonus: +5% Previsão: INTERROMPERÁ STREAK
Eerste Divisie;Helmond Sport have had Over 2.5 Match Goals in their last 6 home league matches;HELMOND SPORT vs willem ii;1.7;21/12/2025 10:30;'2-2;VERDADEIRO;MEDIA_CONFIABILIDADE;OVER_2.5;0.9024906352345632;JOGO_FUTURO;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: OVER_2.5 em 6 jogos (Odds: 1.70) Streak bonus: +9% Tipo bonus: +4% Previsão: MANTERÁ STREAK
Nigerian Premier Football League;Plateau United have Lost their last 7 away league matches;PLATEAU UNITED vs kano pillars;;21/12/2025 12:00;'2-1;FALSO;MEDIA_CONFIABILIDADE;DERROTA;0.4834197473473767;JOGO_FUTURO;FALSO;PADRAO_FRACO;ARISCADO;PADRAO_FRACO: DERROTA em 7 jogos (Odds: 2.00) Streak bonus: +10% Previsão: INTERROMPERÁ STREAK
La Liga;FC Barcelona have Won their last 7 league matches;FC BARCELONA vs villarreal;1.85;21/12/2025 12:15;'0-2;VERDADEIRO;MEDIA_CONFIABILIDADE;VITORIA;0.5861970086659343;JOGO_FUTURO;FALSO;PADRAO_REGULAR;REGULAR;PADRAO_REGULAR: VITORIA em 7 jogos (Odds: 1.85) Streak bonus: +10% Tipo bonus: +8% Previsão: INTERROMPERÁ STREAK
La Liga;FC Barcelona have had BTTS in their last 7 away league matches;FC BARCELONA vs villarreal;1.3;21/12/2025 12:15;'0-2;FALSO;MEDIA_CONFIABILIDADE;BTTS;0.7858368304869101;JOGO_FUTURO;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: BTTS em 7 jogos (Odds: 1.30) Streak bonus: +10% Tipo bonus: +5% Previsão: MANTERÁ STREAK
La Liga;Villarreal have Won their last 6 league matches;VILLARREAL vs fc barcelona;3.25;21/12/2025 12:15;0-2;FALSO;MEDIA_CONFIABILIDADE;VITORIA;0.4248149883658254;JOGO_FUTURO;FALSO;PADRAO_FRACO;ARISCADO;PADRAO_FRACO: VITORIA em 6 jogos (Odds: 3.25) Streak bonus: +9% Tipo bonus: +8% Previsão: INTERROMPERÁ STREAK
Premier League;Aston Villa have Won their last 6 home league matches;ASTON VILLA vs man united;2.1;21/12/2025 13:30;2-1;VERDADEIRO;MEDIA_CONFIABILIDADE;VITORIA;0.6890384507682867;JOGO_FUTURO;VERDADEIRO;PADRAO_FORTE;BOA;PADRAO_FORTE: VITORIA em 6 jogos (Odds: 2.10) Streak bonus: +9% Tipo bonus: +8% Previsão: MANTERÁ STREAK
Premier League;Aston Villa have Won their last 6 league matches;ASTON VILLA vs man united;2.1;21/12/2025 13:30;2-1;VERDADEIRO;MEDIA_CONFIABILIDADE;VITORIA;0.6890384507682867;JOGO_FUTURO;VERDADEIRO;PADRAO_FORTE;BOA;PADRAO_FORTE: VITORIA em 6 jogos (Odds: 2.10) Streak bonus: +9% Tipo bonus: +8% Previsão: MANTERÁ STREAK
Bundesliga;FC Bayern Munchen have had Over 2.5 Match Goals in their last 14 league matches;FC BAYERN MUNCHEN vs heidenheim;1.25;21/12/2025 13:30;'0-4;VERDADEIRO;MEDIA_CONFIABILIDADE;OVER_2.5;0.8467907890880724;JOGO_FUTURO;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: OVER_2.5 em 14 jogos (Odds: 1.25) Streak bonus: +20% Tipo bonus: +4% Previsão: MANTERÁ STREAK
Bundesliga;FC Bayern Munchen have had Over 2.5 Match Goals in their last 6 away league matches;FC BAYERN MUNCHEN vs heidenheim;1.25;21/12/2025 13:30;'0-4;VERDADEIRO;MEDIA_CONFIABILIDADE;OVER_2.5;0.8376370233837778;JOGO_FUTURO;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: OVER_2.5 em 6 jogos (Odds: 1.25) Streak bonus: +9% Tipo bonus: +4% Previsão: MANTERÁ STREAK
Premier League;Man United have had BTTS in their last 6 away league matches;MAN UNITED vs aston villa;1.53;21/12/2025 13:30;'2-1;VERDADEIRO;MEDIA_CONFIABILIDADE;BTTS;0.6880190850971444;JOGO_FUTURO;VERDADEIRO;PADRAO_FORTE;BOA;PADRAO_FORTE: BTTS em 6 jogos (Odds: 1.53) Streak bonus: +9% Tipo bonus: +5% Previsão: MANTERÁ STREAK
Premier League;Man United have had Over 2.5 Match Goals in their last 7 away league matches;MAN UNITED vs aston villa;1.67;21/12/2025 13:30;'2-1;VERDADEIRO;MEDIA_CONFIABILIDADE;OVER_2.5;0.677045098797917;JOGO_FUTURO;VERDADEIRO;PADRAO_SOLIDO;BOA;PADRAO_SOLIDO: OVER_2.5 em 7 jogos (Odds: 1.67) Streak bonus: +10% Tipo bonus: +4% Previsão: MANTERÁ STREAK
Cypriot First Division;Pafos FC have Won their last 6 home league matches;PAFOS FC vs apoel;1.72;21/12/2025 14:00;'0-0;FALSO;MEDIA_CONFIABILIDADE;VITORIA;0.8371446971518939;JOGO_FUTURO;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: VITORIA em 6 jogos (Odds: 1.72) Streak bonus: +9% Tipo bonus: +8% Previsão: MANTERÁ STREAK
Turkish Super Lig;Samsunspor have had BTTS in their last 6 away league matches;SAMSUNSPOR vs goztepe aş;1.83;21/12/2025 14:00;2-0;FALSO;MEDIA_CONFIABILIDADE;BTTS;0.4410326948952884;JOGO_FUTURO;FALSO;PADRAO_FRACO;ARISCADO;PADRAO_FRACO: BTTS em 6 jogos (Odds: 1.83) Streak bonus: +9% Tipo bonus: +5% Previsão: INTERROMPERÁ STREAK
Greek Super League;AEK have Won their last 6 league matches;AEK vs ofi;1.17;21/12/2025 16:00;;;MEDIA_CONFIABILIDADE;VITORIA;0.9024213491688924;JOGO_FUTURO;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: VITORIA em 6 jogos (Odds: 1.17) Streak bonus: +9% Tipo bonus: +8% Previsão: MANTERÁ STREAK
Serie A;Genoa have had BTTS in their last 6 league matches;GENOA vs atalanta;1.95;21/12/2025 16:45;;;MEDIA_CONFIABILIDADE;BTTS;0.6584243084699655;JOGO_FUTURO;VERDADEIRO;PADRAO_SOLIDO;BOA;PADRAO_SOLIDO: BTTS em 6 jogos (Odds: 1.95) Streak bonus: +9% Tipo bonus: +5% Previsão: MANTERÁ STREAK
Serie A;Genoa have had Over 2.5 Match Goals in their last 6 league matches;GENOA vs atalanta;2.1;21/12/2025 16:45;;;MEDIA_CONFIABILIDADE;OVER_2.5;0.6490384507682867;JOGO_FUTURO;VERDADEIRO;PADRAO_SOLIDO;REGULAR;PADRAO_SOLIDO: OVER_2.5 em 6 jogos (Odds: 2.10) Streak bonus: +9% Tipo bonus: +4% Previsão: MANTERÁ STREAK
