League;Stat;Next Match;Odds;Date;Resultado;Situação;Tipo_Estatistica;Liga_Categoria;Probabilidade_Sucesso;Previsao;Efetividade;Padrao;Recomendacao;Analise_Detalhada
League Two;Bristol Rvs have Lost their last 6 league matches;BRISTOL RVS vs cheltenham;2.85;22/11/2025 12:00;'1-0;VERDADEIRO;DERROTA;MEDIA_CONFIABILIDADE;0.4011468253968254;FALSO;VERDADEIRO;PADRAO_REGULAR;REGULAR;PADRAO_REGULAR: DERROTA em 6 jogos (Odds: 2.85) [BONUS +15%] Previsao: INTERROMPERA STREAK
Pro League;Cercle Brugge have had BTTS in their last 6 league matches;CERCLE BRUGGE vs union saint-gilloise;1.75;22/11/2025 12:00;'2-0;FALSO;BTTS;MEDIA_CONFIABILIDADE;0.9339100527879292;VERDADEIRO;FALSO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: BTTS em 6 jogos (Odds: 1.75) [BONUS +15%] Previsao: MANTERA STREAK
Scottish League 2;Dumbarton have had BTTS in their last 6 home league matches;DUMBARTON vs forfar;1.67;22/11/2025 12:00;'1-4;VERDADEIRO;BTTS;MEDIA_CONFIABILIDADE;0.8063436094616101;VERDADEIRO;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: BTTS em 6 jogos (Odds: 1.67) [BONUS +15%] Previsao: MANTERA STREAK
National League;Eastleigh have had BTTS in their last 8 home league matches;EASTLEIGH vs hartlepool;1.7;22/11/2025 12:00;'0-2;FALSO;BTTS;MEDIA_CONFIABILIDADE;0.95;VERDADEIRO;FALSO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: BTTS em 8 jogos (Odds: 1.7) [BONUS +15%] Previsao: MANTERA STREAK
League Two;Fleetwood Town have had BTTS in their last 8 home league matches;FLEETWOOD TOWN vs shrewsbury;1.83;22/11/2025 12:00;'3-1;VERDADEIRO;BTTS;MEDIA_CONFIABILIDADE;0.9278674040350005;VERDADEIRO;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: BTTS em 8 jogos (Odds: 1.83) [BONUS +15%] Previsao: MANTERA STREAK
Pro League;Union Sain-Gilloise have Won their last 6 home league matches;UNION SAIN-GILLOISE vs cercle brugge;1.38;22/11/2025 12:00;'2-0;VERDADEIRO;VITORIA;MEDIA_CONFIABILIDADE;0.786559795880448;VERDADEIRO;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: VITORIA em 6 jogos (Odds: 1.38) [BONUS +15%] Previsao: MANTERA STREAK
League One;Wigan have had BTTS in their last 6 away league matches;WIGAN vs afc wimbledon;2.05;22/11/2025 12:00;'1-2;VERDADEIRO;BTTS;MEDIA_CONFIABILIDADE;0.8645460555422448;VERDADEIRO;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: BTTS em 6 jogos (Odds: 2.05) [BONUS +15%] Previsao: MANTERA STREAK
National League;York have had BTTS in their last 7 away league matches;YORK vs brackley town;1.67;22/11/2025 12:00;'2-3;VERDADEIRO;BTTS;MEDIA_CONFIABILIDADE;0.8111941273235445;VERDADEIRO;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: BTTS em 7 jogos (Odds: 1.67) [BONUS +15%] Previsao: MANTERA STREAK
La Liga;FC Barcelona have had BTTS in their last 7 league matches;FC BARCELONA vs athletic club;1.7;22/11/2025 12:15;'4-0;FALSO;BTTS;MEDIA_CONFIABILIDADE;0.9224511009013456;VERDADEIRO;FALSO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: BTTS em 7 jogos (Odds: 1.7) [BONUS +15%] Previsao: MANTERA STREAK
La Liga;FC Barcelona have had Over 2.5 Match Goals in their last 9 league matches;FC BARCELONA vs athletic club;1.53;22/11/2025 12:15;'4-0;VERDADEIRO;OVER_2.5;MEDIA_CONFIABILIDADE;0.7821270073331823;VERDADEIRO;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: OVER_2.5 em 9 jogos (Odds: 1.53) [BONUS +15%] Previsao: MANTERA STREAK
Eredivisie;PSV Eindhoven have Won their last 6 away league matches;PSV EINDHOVEN vs nac breda;1.3;22/11/2025 12:30;'0-1;FALSO;VITORIA;MEDIA_CONFIABILIDADE;0.8179324510031032;VERDADEIRO;FALSO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: VITORIA em 6 jogos (Odds: 1.3) [BONUS +15%] Previsao: MANTERA STREAK
Eredivisie;PSV Eindhoven have Won their last 6 league matches;PSV EINDHOVEN vs nac breda;1.3;22/11/2025 12:30;'0-1;FALSO;VITORIA;MEDIA_CONFIABILIDADE;0.8179324510031032;VERDADEIRO;FALSO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: VITORIA em 6 jogos (Odds: 1.3) [BONUS +15%] Previsao: MANTERA STREAK
Eredivisie;PSV Eindhoven have had Over 2.5 Match Goals in their last 8 league matches;PSV EINDHOVEN vs nac breda;1.33;22/11/2025 12:30;'0-1;FALSO;OVER_2.5;MEDIA_CONFIABILIDADE;0.7529265873015873;VERDADEIRO;FALSO;PADRAO_FORTE;EXCELENTE;PADRAO_FORTE: OVER_2.5 em 8 jogos (Odds: 1.33) [BONUS +15%] Previsao: MANTERA STREAK
1. SNL;Celje have had Over 2.5 Match Goals in their last 8 away league matches;CELJE vs domžale;1.33;22/11/2025 13:30;'0-2;FALSO;OVER_2.5;MEDIA_CONFIABILIDADE;0.7529265873015873;VERDADEIRO;FALSO;PADRAO_FORTE;EXCELENTE;PADRAO_FORTE: OVER_2.5 em 8 jogos (Odds: 1.33) [BONUS +15%] Previsao: MANTERA STREAK
Norwegian Eliteserien;SK Brann have had Over 2.5 Match Goals in their last 7 away league matches;SK BRANN vs molde fk;1.53;22/11/2025 14:00;'4-0;VERDADEIRO;OVER_2.5;MEDIA_CONFIABILIDADE;0.5672297127061829;FALSO;FALSO;PADRAO_REGULAR;REGULAR;PADRAO_REGULAR: OVER_2.5 em 7 jogos (Odds: 1.53) [BONUS +15%] Previsao: INTERROMPERA STREAK
Norwegian Eliteserien;Sandefjord have had BTTS in their last 7 away league matches;SANDEFJORD vs strømsgodset if;1.4;22/11/2025 14:00;'2-6;VERDADEIRO;BTTS;MEDIA_CONFIABILIDADE;0.7883178185103905;VERDADEIRO;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: BTTS em 7 jogos (Odds: 1.4) [BONUS +15%] Previsao: MANTERA STREAK
Swiss Super League;Winterthur have had Over 2.5 Match Goals in their last 6 away league matches;WINTERTHUR vs young boys;1.4;22/11/2025 14:00;'5-0;VERDADEIRO;VITORIA;MEDIA_CONFIABILIDADE;0.7850235404691925;VERDADEIRO;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: VITORIA em 6 jogos (Odds: 1.4) [BONUS +15%] Previsao: MANTERA STREAK
OTP Bank Liga;Ferencvárosi have had Over 2.5 Match Goals in their last 6 home league matches;FERENCVÁROSI vs nyíregyháza spartacus;1.57;22/11/2025 15:30;'1-3;VERDADEIRO;OVER_2.5;MEDIA_CONFIABILIDADE;0.9027895624848494;VERDADEIRO;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: OVER_2.5 em 6 jogos (Odds: 1.57) [BONUS +15%] Previsao: MANTERA STREAK
1. Liga;Stal Rzeszów have had BTTS in their last 7 league matches;STAL RZESZÓW vs tychy 71;1.44;22/11/2025 15:30;'2-1;VERDADEIRO;BTTS;MEDIA_CONFIABILIDADE;0.8292185749080259;VERDADEIRO;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: BTTS em 7 jogos (Odds: 1.44) [BONUS +15%] Previsao: MANTERA STREAK
Swiss Super League;FC Thun have Won their last 6 league matches;FC THUN vs fc lugano;;22/11/2025 16:30;'0-1;FALSO;VITORIA;MEDIA_CONFIABILIDADE;0.9211622405411478;VERDADEIRO;FALSO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: VITORIA em 6 jogos (Odds: nan) [BONUS +15%] Previsao: MANTERA STREAK
Eredivisie;Heracles Almelo have had Over 2.5 Match Goals in their last 9 league matches;HERACLES ALMELO vs go ahead eagles;1.57;22/11/2025 17:00;'4-2;VERDADEIRO;OVER_2.5;MEDIA_CONFIABILIDADE;0.7597401025712777;VERDADEIRO;VERDADEIRO;PADRAO_FORTE;EXCELENTE;PADRAO_FORTE: OVER_2.5 em 9 jogos (Odds: 1.57) [BONUS +15%] Previsao: MANTERA STREAK
Chile Primera Division;Coquimbo Unido have Won their last 15 league matches;COQUIMBO UNIDO vs la serena;1.53;22/11/2025 18:00;'2-1;VERDADEIRO;VITORIA;MEDIA_CONFIABILIDADE;0.8841547619047618;VERDADEIRO;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: VITORIA em 15 jogos (Odds: 1.53) [BONUS +15%] Previsao: MANTERA STREAK
Chile Primera Division;Coquimbo Unido have Won their last 7 home league matches;COQUIMBO UNIDO vs la serena;1.53;22/11/2025 18:00;'2-1;VERDADEIRO;VITORIA;MEDIA_CONFIABILIDADE;0.6092035272333781;FALSO;FALSO;PADRAO_SOLIDO;REGULAR;PADRAO_SOLIDO: VITORIA em 7 jogos (Odds: 1.53) [BONUS +15%] Previsao: INTERROMPERA STREAK
Bolivia Primera Division;Real Oruro have had Over 2.5 Match Goals in their last 7 away league matches;REAL ORURO vs the strongest;1.29;22/11/2025 18:30;'2-1;VERDADEIRO;OVER_2.5;MEDIA_CONFIABILIDADE;0.8490714285714287;VERDADEIRO;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: OVER_2.5 em 7 jogos (Odds: 1.29) [BONUS +15%] Previsao: MANTERA STREAK
Bolivia Primera Division;The Strongest have Won their last 11 home league matches;THE STRONGEST vs real oruro;1.22;22/11/2025 18:30;'2-1;VERDADEIRO;VITORIA;MEDIA_CONFIABILIDADE;0.95;VERDADEIRO;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: VITORIA em 11 jogos (Odds: 1.22) [BONUS +15%] Previsao: MANTERA STREAK
Chile Primera Division;Palestino have had BTTS in their last 7 league matches;PALESTINO vs universidad católica;1.8;22/11/2025 20:30;'2-1;VERDADEIRO;BTTS;MEDIA_CONFIABILIDADE;0.788924720222893;VERDADEIRO;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: BTTS em 7 jogos (Odds: 1.8) [BONUS +15%] Previsao: MANTERA STREAK
Chile Primera Division;Palestino have had Over 2.5 Match Goals in their last 7 league matches;PALESTINO vs universidad católica;2.05;22/11/2025 20:30;'2-1;VERDADEIRO;OVER_2.5;MEDIA_CONFIABILIDADE;0.6468771755849931;FALSO;FALSO;PADRAO_SOLIDO;BOA;PADRAO_SOLIDO: OVER_2.5 em 7 jogos (Odds: 2.05) [BONUS +15%] Previsao: INTERROMPERA STREAK
Colombia Primera A;Deportes Tolima have Won their last 6 league matches;DEPORTES TOLIMA vs atlético bucaramanga;2.05;22/11/2025 21:30;'0-0;FALSO;VITORIA;MEDIA_CONFIABILIDADE;0.95;VERDADEIRO;FALSO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: VITORIA em 6 jogos (Odds: 2.05) [BONUS +15%] Previsao: MANTERA STREAK
J League 2;Montedio Yamagata have had BTTS in their last 7 league matches;MONTEDIO YAMAGATA vs júbilo iwata;1.67;23/11/2025 02:00;'2-2;VERDADEIRO;BTTS;MEDIA_CONFIABILIDADE;0.8111941273235445;VERDADEIRO;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: BTTS em 7 jogos (Odds: 1.67) [BONUS +15%] Previsao: MANTERA STREAK
J League 2;Sagan Tosu have had BTTS in their last 6 away league matches;SAGAN TOSU vs fujieda myfc;1.73;23/11/2025 02:00;'0-0;FALSO;BTTS;MEDIA_CONFIABILIDADE;0.9421416267695032;VERDADEIRO;FALSO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: BTTS em 6 jogos (Odds: 1.73) [BONUS +15%] Previsao: MANTERA STREAK
Ekstraklasa;Jagiellonia Białystok have had Over 2.5 Match Goals in their last 6 league matches;JAGIELLONIA BIAŁYSTOK vs katowice;1.6;23/11/2025 08:15;'0-0;FALSO;OVER_2.5;MEDIA_CONFIABILIDADE;0.95;VERDADEIRO;FALSO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: OVER_2.5 em 6 jogos (Odds: 1.6) [BONUS +15%] Previsao: MANTERA STREAK
Eredivisie;SC Heerenveen have had BTTS in their last 6 home league matches;SC HEERENVEEN vs az alkmaar;1.44;23/11/2025 08:15;'3-1;VERDADEIRO;BTTS;MEDIA_CONFIABILIDADE;0.8448884965541473;VERDADEIRO;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: BTTS em 6 jogos (Odds: 1.44) [BONUS +15%] Previsao: MANTERA STREAK
First Division;HB Køge have had Over 2.5 Match Goals in their last 8 away league matches;HB KØGE vs aarhus fremad;1.62;23/11/2025 10:00;'2-2;VERDADEIRO;OVER_2.5;MEDIA_CONFIABILIDADE;0.775128818003927;VERDADEIRO;VERDADEIRO;PADRAO_FORTE;EXCELENTE;PADRAO_FORTE: OVER_2.5 em 8 jogos (Odds: 1.62) [BONUS +15%] Previsao: MANTERA STREAK
Norwegian Eliteserien;Sarpsborg 08 FF have had Over 2.5 Match Goals in their last 7 away league matches;SARPSBORG 08 FF vs bryne;1.6;23/11/2025 10:30;'0-3;VERDADEIRO;OVER_2.5;MEDIA_CONFIABILIDADE;0.5092363402043212;FALSO;FALSO;PADRAO_REGULAR;REGULAR;PADRAO_REGULAR: OVER_2.5 em 7 jogos (Odds: 1.6) [BONUS +15%] Previsao: INTERROMPERA STREAK
Ekstraklasa;Lech Poznań have had BTTS in their last 8 home league matches;LECH POZNAŃ vs radomiak radom;1.7;23/11/2025 10:45;'4-1;VERDADEIRO;BTTS;MEDIA_CONFIABILIDADE;0.95;VERDADEIRO;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: BTTS em 8 jogos (Odds: 1.7) [BONUS +15%] Previsao: MANTERA STREAK
Ekstraklasa;Radomiak Radom have had Over 2.5 Match Goals in their last 6 away league matches;RADOMIAK RADOM vs lech poznań;1.67;23/11/2025 10:45;'4-1;VERDADEIRO;OVER_2.5;MEDIA_CONFIABILIDADE;0.8407785515452139;VERDADEIRO;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: OVER_2.5 em 6 jogos (Odds: 1.67) [BONUS +15%] Previsao: MANTERA STREAK
First Division;Hillerød have had BTTS in their last 7 league matches;HILLERØD vs ac horsens;1.73;23/11/2025 11:00;'3-1;VERDADEIRO;BTTS;MEDIA_CONFIABILIDADE;0.8584600294727743;VERDADEIRO;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: BTTS em 7 jogos (Odds: 1.73) [BONUS +15%] Previsao: MANTERA STREAK
Premier League;Dinamo Moscow have had Over 2.5 Match Goals in their last 6 home league matches;DINAMO MOSCOW vs dynamo makhachkala;;23/11/2025 11:30;'3-0;VERDADEIRO;OVER_2.5;MEDIA_CONFIABILIDADE;0.95;VERDADEIRO;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: OVER_2.5 em 6 jogos (Odds: nan) [BONUS +15%] Previsao: MANTERA STREAK
Superliga;Fredericia have Lost their last 7 league matches;FREDERICIA vs fc nordsjaelland;1.35;23/11/2025 12:00;'5-0;VERDADEIRO;DERROTA;MEDIA_CONFIABILIDADE;0.790640422077922;VERDADEIRO;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: DERROTA em 7 jogos (Odds: 1.35) [BONUS +15%] Previsao: MANTERA STREAK
Superliga;Fredericia have had Over 2.5 Match Goals in their last 6 away league matches;FREDERICIA vs fc nordsjaelland;1.36;23/11/2025 12:00;'5-0;VERDADEIRO;OVER_2.5;MEDIA_CONFIABILIDADE;0.95;VERDADEIRO;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: OVER_2.5 em 6 jogos (Odds: 1.36) [BONUS +15%] Previsao: MANTERA STREAK
Swiss Super League;Lausanne Sport have had Over 2.5 Match Goals in their last 6 league matches;LAUSANNE SPORT vs st. gallen;1.53;23/11/2025 12:30;'1-0;FALSO;OVER_2.5;MEDIA_CONFIABILIDADE;0.95;VERDADEIRO;FALSO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: OVER_2.5 em 6 jogos (Odds: 1.53) [BONUS +15%] Previsao: MANTERA STREAK
Swiss Super League;St. Gallen have had Over 2.5 Match Goals in their last 6 league matches;ST. GALLEN vs lausanne sport;1.53;23/11/2025 12:30;'1-0;FALSO;OVER_2.5;MEDIA_CONFIABILIDADE;0.95;VERDADEIRO;FALSO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: OVER_2.5 em 6 jogos (Odds: 1.53) [BONUS +15%] Previsao: MANTERA STREAK
1. Liga;ŁKS Łódź have had Over 2.5 Match Goals in their last 6 league matches;ŁKS ŁÓDŹHAVE vs górnik łęczna;1.7;23/11/2025 13:00;'1-2;VERDADEIRO;OVER_2.5;MEDIA_CONFIABILIDADE;0.8590428264859595;VERDADEIRO;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: OVER_2.5 em 6 jogos (Odds: 1.7) [BONUS +15%] Previsao: MANTERA STREAK
Serie B;Monza have Won their last 6 league matches;MONZA vs cesena;1.76;23/11/2025 13:15;'1-0;VERDADEIRO;VITORIA;MEDIA_CONFIABILIDADE;0.8686363161692106;VERDADEIRO;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: VITORIA em 6 jogos (Odds: 1.76) [BONUS +15%] Previsao: MANTERA STREAK
Bundesliga;St Pauli have Lost their last 7 league matches;ST PAULI vs fc union berlin;2.9;23/11/2025 13:30;'0-1;VERDADEIRO;DERROTA;MEDIA_CONFIABILIDADE;0.4243095238095239;FALSO;FALSO;PADRAO_REGULAR;REGULAR;PADRAO_REGULAR: DERROTA em 7 jogos (Odds: 2.9) [BONUS +15%] Previsao: INTERROMPERA STREAK
Greek Super League;Kifisia have had BTTS in their last 6 league matches;KIFISIA vs paok;2.1;23/11/2025 14:00;'2-0;FALSO;BTTS;MEDIA_CONFIABILIDADE;0.8188238504787265;VERDADEIRO;FALSO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: BTTS em 6 jogos (Odds: 2.1) [BONUS +15%] Previsao: MANTERA STREAK
Saudi Pro League;Al Nassr have Won their last 8 league matches;AL NASSR vs al khaleej;1.22;23/11/2025 14:30;'4-1;VERDADEIRO;VITORIA;MEDIA_CONFIABILIDADE;0.95;VERDADEIRO;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: VITORIA em 8 jogos (Odds: 1.22) [BONUS +15%] Previsao: MANTERA STREAK
Saudi Pro League;Al Taawoun have Won their last 7 league matches;AL TAAWOUN vs neom sc;2.35;23/11/2025 14:30;'1-1;FALSO;VITORIA;MEDIA_CONFIABILIDADE;0.7021726190476192;VERDADEIRO;FALSO;PADRAO_FORTE;BOA;PADRAO_FORTE: VITORIA em 7 jogos (Odds: 2.35) [BONUS +15%] Previsao: MANTERA STREAK
Segunda Division;Santander have had BTTS in their last 6 away league matches;SANTANDER vs burgos;1.83;23/11/2025 14:30;'0-2;FALSO;BTTS;MEDIA_CONFIABILIDADE;0.8439724881214905;VERDADEIRO;FALSO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: BTTS em 6 jogos (Odds: 1.83) [BONUS +15%] Previsao: MANTERA STREAK
Segunda Division;Santander have had Over 2.5 Match Goals in their last 6 away league matches;SANTANDER vs burgos;2.1;23/11/2025 14:30;'0-2;FALSO;OVER_2.5;MEDIA_CONFIABILIDADE;0.8757412514509103;VERDADEIRO;FALSO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: OVER_2.5 em 6 jogos (Odds: 2.1) [BONUS +15%] Previsao: MANTERA STREAK
Norwegian Eliteserien;VIKING FK have had BTTS in their last 8 away league matches;VIKING FK vs fredrikstad;1.62;23/11/2025 15:15;'0-1;FALSO;BTTS;MEDIA_CONFIABILIDADE;0.95;VERDADEIRO;FALSO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: BTTS em 8 jogos (Odds: 1.62) [BONUS +15%] Previsao: MANTERA STREAK
Norwegian Eliteserien;VIKING FK have had Over 2.5 Match Goals in their last 6 league matches;VIK vs fredrikstad;1.53;23/11/2025 15:15;'0-1;FALSO;OVER_2.5;MEDIA_CONFIABILIDADE;0.95;VERDADEIRO;FALSO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: OVER_2.5 em 6 jogos (Odds: 1.53) [BONUS +15%] Previsao: MANTERA STREAK
Norwegian Eliteserien;VIKING FK have had Over 2.5 Match Goals in their last 7 away league matches;VIK vs fredrikstad;1.53;23/11/2025 15:15;'0-1;FALSO;OVER_2.5;MEDIA_CONFIABILIDADE;0.5672297127061829;FALSO;VERDADEIRO;PADRAO_REGULAR;REGULAR;PADRAO_REGULAR: OVER_2.5 em 7 jogos (Odds: 1.53) [BONUS +15%] Previsao: INTERROMPERA STREAK
3. Liga;Energie Cottbus have had Over 2.5 Match Goals in their last 6 away league matches;ENERGIE COTTBUS vs rot-weiss essen;1.57;23/11/2025 15:30;'2-3;VERDADEIRO;OVER_2.5;MEDIA_CONFIABILIDADE;0.9027895624848494;VERDADEIRO;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: OVER_2.5 em 6 jogos (Odds: 1.57) [BONUS +15%] Previsao: MANTERA STREAK
Bolivia Primera Division;Always Ready have Won their last 7 league matches;ALWAYS READY vs club bolívar;2.65;23/11/2025 16:00;'1-1;FALSO;VITORIA;MEDIA_CONFIABILIDADE;0.4032757936507937;FALSO;VERDADEIRO;PADRAO_REGULAR;REGULAR;PADRAO_REGULAR: VITORIA em 7 jogos (Odds: 2.65) [BONUS +15%] Previsao: INTERROMPERA STREAK
Bolivia Primera Division;Always Ready have Won their last 9 home league matches;ALWAYS READY vs club bolívar;2.65;23/11/2025 16:00;'1-1;FALSO;VITORIA;MEDIA_CONFIABILIDADE;0.5796904761904762;FALSO;VERDADEIRO;PADRAO_REGULAR;REGULAR;PADRAO_REGULAR: VITORIA em 9 jogos (Odds: 2.65) [BONUS +15%] Previsao: INTERROMPERA STREAK
Bolivia Primera Division;Club Bolívar have Won their last 6 league matches;CLUB BOLÍVAR vs always ready;2.32;23/11/2025 16:00;'1-1;FALSO;VITORIA;MEDIA_CONFIABILIDADE;0.95;VERDADEIRO;FALSO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: VITORIA em 6 jogos (Odds: 2.32) [BONUS +15%] Previsao: MANTERA STREAK
Serie B;Avaí have had BTTS in their last 6 league matches;AVAÍ vs botafogo sp;2.0;23/11/2025 16:30;'0-0;FALSO;BTTS;MEDIA_CONFIABILIDADE;0.8892527801239695;VERDADEIRO;FALSO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: BTTS em 6 jogos (Odds: 2.0) [BONUS +15%] Previsao: MANTERA STREAK
Serie B;Ferroviária have had Over 2.5 Match Goals in their last 7 away league matches;FERROVIÁRIA vs operário pr;2.1;23/11/2025 16:30;'2-1;VERDADEIRO;OVER_2.5;MEDIA_CONFIABILIDADE;0.6516972354271118;VERDADEIRO;VERDADEIRO;PADRAO_SOLIDO;BOA;PADRAO_SOLIDO: OVER_2.5 em 7 jogos (Odds: 2.1) [BONUS +15%] Previsao: MANTERA STREAK
Serie B;Paysandu have had BTTS in their last 6 league matches;PAYSANDU vs athletic club;2.38;23/11/2025 16:30;'2-1;VERDADEIRO;BTTS;MEDIA_CONFIABILIDADE;0.7489786123834885;VERDADEIRO;VERDADEIRO;PADRAO_FORTE;BOA;PADRAO_FORTE: BTTS em 6 jogos (Odds: 2.38) [BONUS +15%] Previsao: MANTERA STREAK
Serie B;Paysandu have had Over 2.5 Match Goals in their last 6 league matches;PAYSANDU vs athletic club;2.05;23/11/2025 16:30;'2-1;VERDADEIRO;OVER_2.5;MEDIA_CONFIABILIDADE;0.8970618842494843;VERDADEIRO;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: OVER_2.5 em 6 jogos (Odds: 2.05) [BONUS +15%] Previsao: MANTERA STREAK
Serie B;Remo have had BTTS in their last 7 league matches;REMO vs goiás;1.83;23/11/2025 16:30;'3-1;VERDADEIRO;BTTS;MEDIA_CONFIABILIDADE;0.8160820941031942;VERDADEIRO;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: BTTS em 7 jogos (Odds: 1.83) [BONUS +15%] Previsao: MANTERA STREAK
Primera Division;Alianza Lima have had BTTS in their last 7 league matches;ALIANZA LIMA vs utc cajamarca;2.25;23/11/2025 17:00;'2-0;FALSO;BTTS;MEDIA_CONFIABILIDADE;0.7227905358530359;VERDADEIRO;FALSO;PADRAO_FORTE;BOA;PADRAO_FORTE: BTTS em 7 jogos (Odds: 2.25) [BONUS +15%] Previsao: MANTERA STREAK
Primera Division;Alianza Lima have had Over 2.5 Match Goals in their last 6 home league matches;ALIANZA LIMA vs utc cajamarca;1.5;23/11/2025 17:00;'2-0;FALSO;OVER_2.5;MEDIA_CONFIABILIDADE;0.95;VERDADEIRO;FALSO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: OVER_2.5 em 6 jogos (Odds: 1.5) [BONUS +15%] Previsao: MANTERA STREAK
Primera Division;Alianza Lima have had Over 2.5 Match Goals in their last 9 league matches;ALIANZA LIMA vs utc cajamarca;1.5;23/11/2025 17:00;'2-0;FALSO;OVER_2.5;MEDIA_CONFIABILIDADE;0.8760652198678512;VERDADEIRO;FALSO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: OVER_2.5 em 9 jogos (Odds: 1.5) [BONUS +15%] Previsao: MANTERA STREAK
Primera Division;Alianza Universidad have had BTTS in their last 7 league matches;ALIANZA UNIVERSIDAD vs adc juan pablo ii;1.67;23/11/2025 17:00;'3-0;FALSO;BTTS;MEDIA_CONFIABILIDADE;0.8111941273235445;VERDADEIRO;FALSO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: BTTS em 7 jogos (Odds: 1.67) [BONUS +15%] Previsao: MANTERA STREAK
Primera Division;Alianza Universidad have had Over 2.5 Match Goals in their last 7 league matches;ALIANZA UNIVERSIDAD vs adc juan pablo ii;1.8;23/11/2025 17:00;'3-0;VERDADEIRO;OVER_2.5;MEDIA_CONFIABILIDADE;0.6763974496112062;VERDADEIRO;VERDADEIRO;PADRAO_SOLIDO;BOA;PADRAO_SOLIDO: OVER_2.5 em 7 jogos (Odds: 1.8) [BONUS +15%] Previsao: MANTERA STREAK
